Fecha de la actividad,Tipo de actividad,Distancia,Distancia.1,Tiempo en movimiento,Tiempo transcurrido,Tiempo transcurrido.1,Desnivel positivo,Ritmo cardiaco promedio,Velocidad promedio
"27 jul 2021, 20:48:28",Bicicleta,"32,44",32443.5,8741.0,12729,12729.0,460.4,,3.712
"25 jul 2021, 13:33:43",Bicicleta,"46,04",46041.7,6486.0,7430,7430.0,303.6,,7.099
"23 jul 2021, 21:04:04",Carrera,"4,00",4000.0,4440.0,4440,4440.0,,,0.901
"22 jul 2021, 21:20:38",Carrera,"3,50",3500.0,4080.0,4080,4080.0,,,0.858
"22 jul 2021, 19:37:07",Bicicleta,"11,47",11473.0,3066.0,5015,5015.0,101.7,,3.742
"21 jul 2021, 21:20:44",Carrera,"5,00",5000.0,7320.0,7320,7320.0,,,0.683
"20 jul 2021, 21:59:28",Bicicleta,"35,21",35210.2,6899.0,8163,8163.0,451.0,,5.104
"19 jul 2021, 21:28:25",Carrera,"1,50",1500.0,1620.0,1620,1620.0,,,0.926
"18 jul 2021, 14:11:48",Bicicleta,"34,49",34498.7,8041.0,23887,23887.0,516.9,,4.29
"16 jul 2021, 21:20:03",Carrera,"3,60",3600.0,3960.0,3960,3960.0,,,0.909
"16 jul 2021, 12:15:31",Carrera,"7,00",7004.2,3268.0,3773,3773.0,32.0,,2.143
"14 jul 2021, 23:07:08",Bicicleta,"23,00",23000.3,5934.0,7651,7651.0,338.4,,3.876
"14 jul 2021, 12:26:13",Carrera,"6,70",6707.6,3521.0,3591,3591.0,35.2,,1.905
"11 jul 2021, 22:02:01",Bicicleta,"78,18",78188.8,11476.0,15003,15003.0,1163.0,,6.813
"9 jul 2021, 21:10:37",Carrera,"3,30",3300.0,3840.0,3840,3840.0,,,0.859
"8 jul 2021, 21:28:49",Bicicleta,"28,89",28889.2,5697.0,6742,6742.0,406.1,,5.071
"7 jul 2021, 21:24:14",Carrera,"6,30",6300.0,5460.0,5460,5460.0,,,1.154
"7 jul 2021, 20:23:32",Bicicleta,"6,54",6544.5,2109.0,19756,19756.0,74.7,,3.103
"7 jul 2021, 11:16:39",Caminata,"8,46",8460.3,7177.0,11824,11824.0,114.1,,1.179
"6 jul 2021, 20:57:11",Bicicleta,"12,01",12013.1,4726.0,19873,19873.0,122.7,,2.542
"6 jul 2021, 16:30:40",Caminata,"4,10",4100.0,4500.0,4500,4500.0,,,0.911
"2 jul 2021, 11:28:53",Caminata,"6,10",6100.0,3840.0,3840,3840.0,,,1.589
"28 jun 2021, 23:09:27",Bicicleta,"8,60",8601.3,3231.0,9143,9143.0,75.9,,2.662
"27 jun 2021, 13:26:55",Bicicleta,"29,81",29811.2,8038.0,14951,14951.0,316.7,,3.709
"26 jun 2021, 21:05:30",Bicicleta,"33,04",33046.0,8332.0,10596,10596.0,452.9,,3.966
"24 jun 2021, 22:41:31",Bicicleta,"70,03",70037.5,10081.0,10545,10545.0,603.3,,6.947
"22 jun 2021, 21:45:55",Bicicleta,"71,30",71308.0,14739.0,20224,20224.0,988.3,,4.838
"21 jun 2021, 23:26:32",Bicicleta,"4,94",4947.5,2090.0,9833,9833.0,62.3,,2.367
"17 jun 2021, 21:18:17",Carrera,"6,02",6027.2,3784.0,3835,3835.0,0.0,,1.593
"16 jun 2021, 21:41:46",Bicicleta,"7,41",7415.4,2209.0,13008,13008.0,71.9,,3.357
"15 jun 2021, 23:04:19",Bicicleta,"33,15",33149.4,7295.0,8218,8218.0,784.3,,4.544
"14 jun 2021, 23:10:50",Bicicleta,"6,00",6006.1,1876.0,10050,10050.0,63.9,,3.202
"9 jun 2021, 21:52:29",Bicicleta,"5,03",5029.7,1418.0,12971,12971.0,61.8,,3.547
"8 jun 2021, 22:50:24",Bicicleta,"26,78",26780.6,7879.0,10726,10726.0,232.0,,3.399
"7 jun 2021, 22:54:43",Bicicleta,"7,10",7102.7,2188.0,9049,9049.0,75.1,,3.246
"6 jun 2021, 22:44:02",Bicicleta,"27,05",27052.0,4384.0,4722,4722.0,245.1,,6.171
"5 jun 2021, 12:32:34",Bicicleta,"56,39",56396.1,13948.0,20244,20244.0,1271.9,,4.043
"4 jun 2021, 22:18:56",Bicicleta,"15,00",15006.1,3390.0,19157,19157.0,120.6,,4.427
"2 jun 2021, 21:41:08",Bicicleta,"11,93",11930.8,3805.0,17107,17107.0,140.8,,3.136
"1 jun 2021, 23:25:04",Bicicleta,"22,18",22187.9,4471.0,5873,5873.0,249.4,,4.963
"31 may 2021, 23:12:42",Bicicleta,"8,93",8936.6,3023.0,11297,11297.0,87.8,,2.956
"26 may 2021, 21:49:20",Bicicleta,"3,94",3943.4,1823.0,17392,17392.0,45.6,,2.163
"24 may 2021, 11:50:36",Bicicleta,"110,06",110067.3,16725.0,21836,21836.0,1054.4,,6.581
"19 may 2021, 21:44:59",Bicicleta,"17,79",17790.0,4508.0,19996,19996.0,126.8,,3.946
"18 may 2021, 23:02:56",Bicicleta,"22,13",22131.8,8222.0,12315,12315.0,404.7,,2.692
"16 may 2021, 22:44:01",Bicicleta,"7,50",7502.2,2919.0,8679,8679.0,107.4,,2.57
"12 may 2021, 21:40:42",Bicicleta,"8,36",8367.4,3080.0,17188,17188.0,105.2,,2.717
"11 may 2021, 21:38:57",Bicicleta,"37,74",37741.8,7169.0,8523,8523.0,536.9,,5.265
"10 may 2021, 23:00:26",Bicicleta,"7,89",7892.6,2836.0,12156,12156.0,103.1,,2.783
"4 may 2021, 20:16:45",Bicicleta,"32,31",32312.8,9656.0,18836,18836.0,467.7,,3.346
"3 may 2021, 23:07:23",Bicicleta,"7,87",7870.4,2692.0,11297,11297.0,75.4,,2.924
"2 may 2021, 12:21:55",Bicicleta,"90,76",90761.3,13717.0,20567,20567.0,828.7,,6.617
"1 may 2021, 11:34:56",Bicicleta,"17,61",17614.8,6216.0,10489,10489.0,267.2,,2.834
"29 abr 2021, 21:21:30",Carrera,"2,02",2022.7,904.0,3795,3795.0,0.0,,2.237
"28 abr 2021, 21:37:43",Bicicleta,"5,81",5810.4,2131.0,14964,14964.0,69.0,,2.727
"27 abr 2021, 19:56:29",Bicicleta,"5,57",5570.5,1695.0,7043,7043.0,102.9,,3.286
"26 abr 2021, 23:10:33",Bicicleta,"5,74",5741.6,1975.0,11012,11012.0,66.9,,2.907
"25 abr 2021, 12:04:48",Bicicleta,"102,89",102897.3,17645.0,27851,27851.0,1261.8,,5.832
"24 abr 2021, 21:59:34",Bicicleta,"17,40",17399.5,5213.0,8123,8123.0,294.0,,3.338
"22 abr 2021, 21:54:02",Bicicleta,"21,26",21263.1,4706.0,5553,5553.0,370.2,,4.518
"20 abr 2021, 22:18:05",Bicicleta,"41,67",41669.7,9011.0,10921,10921.0,564.1,,4.624
"19 abr 2021, 23:14:47",Bicicleta,"15,08",15084.6,3639.0,16332,16332.0,129.4,,4.145
"18 abr 2021, 15:00:34",Bicicleta,"62,05",62056.9,12434.0,19124,19124.0,739.1,,4.991
"16 abr 2021, 15:59:24",Bicicleta,"31,28",31284.5,10345.0,17822,17822.0,454.2,,3.024
"14 abr 2021, 21:45:40",Bicicleta,"6,01",6012.9,1449.0,16951,16951.0,68.0,,4.15
"13 abr 2021, 23:33:13",Bicicleta,"38,42",38424.6,5750.0,6070,6070.0,361.3,,6.683
"13 abr 2021, 14:25:40",Bicicleta,"6,50",6500.7,2765.0,12213,12213.0,78.1,,2.351
"12 abr 2021, 23:05:26",Bicicleta,"10,87",10878.1,2812.0,9616,9616.0,88.8,,3.868
"11 abr 2021, 20:37:07",Bicicleta,"30,57",30574.3,5628.0,6642,6642.0,447.2,,5.433
"8 abr 2021, 21:18:55",Bicicleta,"24,92",24919.8,4967.0,6864,6864.0,309.6,,5.017
"7 abr 2021, 15:36:44",Bicicleta,"4,15",4153.6,2194.0,9007,9007.0,67.5,,1.893
"6 abr 2021, 23:19:31",Carrera,"4,10",4099.8,1625.0,1802,1802.0,0.0,,2.523
